"T, K","P, atm",X,Y,T Err,P Err,X Err,Y Err
573.15,10,0.0128,0.9867,0.2,+-0.1,,
573.15,20,0.0265,0.9927,0.2,+-0.1,,
573.15,30,0.0409,0.9945,0.2,+-0.1,,
573.15,40,0.054,0.9968,0.2,+-0.1,,
573.15,50,0.0686,0.998,0.2,+-0.1,,
