"T, deg.C","P, Torr",X,Y,T Err,P Err,X Err,Y Err
25,14.61,0.0429,,+-0.002,+-0.005,,
25,28.73,0.0944,,+-0.002,+-0.005,,
25,31.43,0.1057,,+-0.002,+-0.005,,
25,52.24,0.2104,,+-0.002,+-0.005,,
25,52.68,0.2119,,+-0.002,+-0.005,,
25,65.35,0.3063,,+-0.002,+-0.005,,
25,70.17,0.3514,,+-0.002,+-0.005,,
25,70.56,0.3546,,+-0.002,+-0.005,,
25,74.69,0.4065,,+-0.002,+-0.005,,
25,78.03,0.448,,+-0.002,+-0.005,,
25,78.26,0.4546,,+-0.002,+-0.005,,
25,78.81,0.4646,,+-0.002,+-0.005,,
25,80.77,0.5009,,+-0.002,+-0.005,,
25,84.1,0.5669,,+-0.002,+-0.005,,
25,84.66,0.5755,,+-0.002,+-0.005,,
25,84.66,0.5811,,+-0.002,+-0.005,,
25,88.12,0.675,,+-0.002,+-0.005,,
25,88.68,0.6909,,+-0.002,+-0.005,,
25,89.07,0.6967,,+-0.002,+-0.005,,
25,92.4,0.8177,,+-0.002,+-0.005,,
25,93.31,0.8509,,+-0.002,+-0.005,,
25,95.06,0.921,,+-0.002,+-0.005,,
25,95.75,0.9429,,+-0.002,+-0.005,,
