"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
-40.0,20.0,0.021,0.419,+-0.02,+-0.2,,
-40.0,30.0,0.041,0.589,+-0.02,+-0.3,,
-40.0,40.0,0.064,0.651,+-0.02,+-0.2,,
-40.0,50.0,0.087,0.695,+-0.02,+-0.2,,
-40.0,60.0,0.12,0.723,+-0.02,+-0.2,,
-40.0,70.0,0.141,0.741,+-0.02,+-0.2,,
-40.0,80.0,0.167,0.757,+-0.02,+-0.3,,
-40.0,90.0,0.205,0.766,+-0.02,+-0.3,,
-40.0,100.0,0.248,0.767,+-0.02,+-0.3,,
-40.0,110.0,0.274,0.76,+-0.02,+-0.4,,
-40.0,120.0,0.328,0.73,+-0.02,+-0.4,,
-40.0,130.0,0.38,0.702,+-0.02,+-0.5,,
