"T, K","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
298.15,106.7,0.103,0.251,,,,
298.15,122.9,0.208,0.422,,,,
298.15,138.0,0.316,0.548,,,,
298.15,149.8,0.407,0.633,,,,
298.15,161.0,0.499,0.703,,,,
298.15,173.3,0.608,0.779,,,,
298.15,184.9,0.715,0.844,,,,
298.15,193.3,0.793,0.889,,,,
298.15,204.0,0.891,0.943,,,,
