"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
150.2,101.325,0.015,0.625,+-0.05,+-0.07,,
136.4,101.325,0.025,0.76,+-0.05,+-0.07,,
116.0,101.325,0.053,0.887,+-0.05,+-0.07,,
90.0,101.325,0.11,0.96,+-0.05,+-0.07,,
79.5,101.325,0.1685,0.9766,+-0.05,+-0.07,,
75.7,101.325,0.2099,0.9807,+-0.05,+-0.07,,
74.1,101.325,0.2735,0.9831,+-0.05,+-0.07,,
73.25,101.325,0.379,0.9842,+-0.05,+-0.07,,
73.2,101.325,0.52,0.9862,+-0.05,+-0.07,,
73.15,101.325,0.7146,0.9878,+-0.05,+-0.07,,
72.15,101.325,0.8126,0.9893,+-0.05,+-0.07,,
71.5,101.325,0.865,0.9906,+-0.05,+-0.07,,
70.7,101.325,0.9093,0.9916,+-0.05,+-0.07,,
69.8,101.325,0.9532,0.9936,+-0.05,+-0.07,,
69.1,101.325,0.9786,0.9961,+-0.05,+-0.07,,
