"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
40,9.922,0.856,0.0616,+-0.05,+-0.01,2%,2%
40,14.4,0.791,0.0456,+-0.05,+-0.01,2%,2%
40,21.62,0.687,0.0323,+-0.05,+-0.01,2%,2%
40,29.86,0.572,0.0269,+-0.05,+-0.01,2%,2%
40,35.77,0.502,0.0229,+-0.05,+-0.01,2%,2%
40,41.7,0.426,0.0205,+-0.05,+-0.01,2%,2%
40,51.15,0.319,0.0178,+-0.05,+-0.01,2%,2%
40,55.62,0.268,0.0168,+-0.05,+-0.01,2%,2%
40,63.37,0.172,0.0167,+-0.05,+-0.01,2%,2%
40,66.17,0.153,0.0175,+-0.05,+-0.01,2%,2%
40,71.51,0.0947,0.0147,+-0.05,+-0.01,2%,2%
40,73.16,0.082,0.0159,+-0.05,+-0.01,2%,2%
