"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
20,1.4,0.019,,+-0.02,+-0.01,,
20,2.45,0.035,0.944,+-0.02,+-0.01,,
20,4.62,0.092,0.975,+-0.02,+-0.01,,
20,5.8,0.13,0.978,+-0.02,+-0.01,,
20,6.46,0.161,0.983,+-0.02,+-0.01,,
20,7.25,0.2096,0.978,+-0.02,+-0.01,,
20,7.81,0.255,0.982,+-0.02,+-0.01,,
20,8.34,0.384,0.978,+-0.02,+-0.01,,
20,8.33,0.557,0.984,+-0.02,+-0.01,,
20,8.33,0.948,0.988,+-0.02,+-0.01,,
20,8.35,0.966,0.985,+-0.02,+-0.01,,
20,8.38,0.978,0.993,+-0.02,+-0.01,,
20,8.41,0.983,0.993,+-0.02,+-0.01,,
