"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
428.73,1.539,0.061,,+-0.05,+-0.01,0.001,
439.54,1.959,0.061,,+-0.05,+-0.01,0.001,
449.46,2.414,0.061,,+-0.05,+-0.01,0.001,
459.64,2.964,0.061,,+-0.05,+-0.01,0.001,
469.39,3.574,0.061,,+-0.05,+-0.01,0.001,
479.04,4.28,0.061,,+-0.05,+-0.01,0.001,
488.26,5.05,0.061,,+-0.05,+-0.01,0.001,
498.18,5.972,0.061,,+-0.05,+-0.01,0.001,
507.29,6.915,0.061,,+-0.05,+-0.01,0.001,
517.84,8.065,0.061,,+-0.05,+-0.01,0.001,
520.65,8.364,0.061,,+-0.05,+-0.01,0.001,
524.68,8.678,0.061,,+-0.05,+-0.01,0.001,
525.57,8.73,0.061,,+-0.05,+-0.01,0.001,
