"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
30,7.75,1.0,,+-0.05,+-0.05,,
30,14.204,0.9814,,+-0.05,+-0.05,,
30,18.752,0.9673,,+-0.05,+-0.05,,
30,31.376,0.9225,,+-0.05,+-0.05,,
30,51.52,0.83,,+-0.05,+-0.05,,
30,72.616,0.6797,,+-0.05,+-0.05,,
30,75.923,0.6518,,+-0.05,+-0.05,,
30,76.884,0.638,,+-0.05,+-0.05,,
30,85.613,0.5359,,+-0.05,+-0.05,,
30,86.421,0.5295,,+-0.05,+-0.05,,
30,93.292,0.4222,,+-0.05,+-0.05,,
30,93.31,0.422,,+-0.05,+-0.05,,
30,99.068,0.3107,,+-0.05,+-0.05,,
30,103.43,0.2038,,+-0.05,+-0.05,,
30,106.84,0.1004,,+-0.05,+-0.05,,
30,108.53,0.0401,,+-0.05,+-0.05,,
30,108.7,0.023,,+-0.05,+-0.05,,
30,108.57,0.0,,+-0.05,+-0.05,,
