"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-240.0,32.11,0.0,0.0,0-0.1%,0-1%,0-1%,0-1%
-240.0,40.5,0.016538,0.19633,0-0.1%,0-1%,0-1%,0-1%
-240.0,50.0,0.03514,0.3466,0-0.1%,0-1%,0-1%,0-1%
-240.0,75.0,0.086024,0.5588,0-0.1%,0-1%,0-1%,0-1%
-240.0,99.8,0.1411,0.6655,0-0.1%,0-1%,0-1%,0-1%
-240.0,200.0,0.4283,0.8411,0-0.1%,0-1%,0-1%,0-1%
-240.0,284.75,0.7093,0.91093,0-0.1%,0-1%,0-1%,0-1%
-240.0,300.25,0.7524,0.92247,0-0.1%,0-1%,0-1%,0-1%
-240.0,311.0,0.7837,0.93085,0-0.1%,0-1%,0-1%,0-1%
-240.0,354.0,0.8962,0.95888,0-0.1%,0-1%,0-1%,0-1%
-240.0,380.0,0.95136,0.97851,0-0.1%,0-1%,0-1%,0-1%
-240.0,398.25,0.98804,0.99464,0-0.1%,0-1%,0-1%,0-1%
-240.0,403.0,1.0,1.0,0-0.1%,0-1%,0-1%,0-1%
