"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
117.2,760,0.001,0.074,0.1,,0.005,0.005
113.2,760,0.003,0.21,0.1,,0.005,0.005
107.7,760,0.003,0.335,0.1,,0.005,0.005
102.7,760,0.003,0.445,0.1,,0.005,0.005
97.6,760,0.008,0.53,0.1,,0.005,0.005
93.0,760,0.011,0.588,0.1,,0.005,0.005
87.0,760,0.017,0.66,0.1,,0.005,0.005
80.5,760,0.024,0.724,0.1,,0.005,0.005
70.2,760,0.066,0.8,0.1,,0.005,0.005
65.3,760,0.215,0.837,0.1,,0.005,0.005
64.4,760,0.533,0.848,0.1,,0.005,0.005
63.9,760,0.776,0.859,0.1,,0.005,0.005
63.5,760,0.883,0.883,0.1,,0.005,0.005
63.6,760,0.937,0.913,0.1,,0.005,0.005
63.8,760,0.95,0.927,0.1,,0.005,0.005
64.2,760,0.979,0.958,0.1,,0.005,0.005
