"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
0,4.009,1.0,,+-0.05,+-0.05,,
0,5.109,0.9514,,+-0.05,+-0.05,,
0,6.636,0.8955,,+-0.05,+-0.05,,
0,8.925,0.8255,,+-0.05,+-0.05,,
0,11.603,0.749,,+-0.05,+-0.05,,
0,14.819,0.659,,+-0.05,+-0.05,,
0,17.62,0.58,,+-0.05,+-0.05,,
0,20.596,0.4973,,+-0.05,+-0.05,,
0,21.034,0.4794,,+-0.05,+-0.05,,
0,23.871,0.396,,+-0.05,+-0.05,,
0,27.744,0.2574,,+-0.05,+-0.05,,
0,30.202,0.1698,,+-0.05,+-0.05,,
0,32.307,0.0971,,+-0.05,+-0.05,,
0,33.484,0.0563,,+-0.05,+-0.05,,
0,35.221,0.0,,+-0.05,+-0.05,,
