"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
50.0,0.0554,0.0,0.0,+-0.1,+-0.15%,,
50.0,0.1143,0.0062,0.6167,+-0.1,+-0.15%,,
50.0,0.191,0.0178,0.8015,+-0.1,+-0.15%,,
50.0,0.4411,0.0707,0.9224,+-0.1,+-0.15%,,
50.0,0.5881,0.1482,0.9384,+-0.1,+-0.15%,,
50.0,0.6787,0.2838,0.9394,+-0.1,+-0.15%,,
50.0,0.7105,0.5399,0.9419,+-0.1,+-0.15%,,
50.0,0.7181,0.7171,0.9443,+-0.1,+-0.15%,,
50.0,0.7209,0.7953,0.9499,+-0.1,+-0.15%,,
50.0,0.7255,0.8454,0.9516,+-0.1,+-0.15%,,
50.0,0.7262,0.9238,0.9548,+-0.1,+-0.15%,,
50.0,0.7293,0.9209,0.9546,+-0.1,+-0.15%,,
50.0,0.7311,0.9459,0.9554,+-0.1,+-0.15%,,
50.0,0.7332,0.9562,0.9562,+-0.1,+-0.15%,,
50.0,0.7317,0.9633,0.9582,+-0.1,+-0.15%,,
50.0,0.7205,0.9887,0.9716,+-0.1,+-0.15%,,
50.0,0.7126,0.9926,0.9753,+-0.1,+-0.15%,,
50.0,0.7068,0.9948,0.9786,+-0.1,+-0.15%,,
50.0,0.6877,1.0,1.0,+-0.1,+-0.15%,,
