"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
333.13,204.63,0.039,0.152,,,,
333.13,216.56,0.061,0.215,,,,
333.13,232.93,0.094,0.291,,,,
333.13,253.03,0.137,0.372,,,,
333.13,271.9,0.183,0.441,,,,
333.13,294.15,0.247,0.51,,,,
333.13,319.52,0.335,0.587,,,,
333.13,339.28,0.421,0.644,,,,
333.13,354.7,0.506,0.688,,,,
333.13,365.94,0.581,0.726,,,,
333.13,375.61,0.656,0.762,,,,
333.13,380.39,0.702,0.785,,,,
333.13,385.93,0.756,0.815,,,,
333.13,388.24,0.798,0.836,,,,
333.13,390.31,0.833,0.86,,,,
333.13,391.87,0.893,0.9,,,,
333.13,391.5,0.937,0.933,,,,
333.13,390.75,0.963,0.958,,,,
