"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
131.7,101.3,0.0,0.0,+-0.1,,+-0.0015,+-0.0015
128.3,101.3,0.008,0.104,+-0.1,,+-0.0015,+-0.0015
120.9,101.3,0.038,0.282,+-0.1,,+-0.0015,+-0.0015
110.5,101.3,0.075,0.47,+-0.1,,+-0.0015,+-0.0015
100.6,101.3,0.148,0.61,+-0.1,,+-0.0015,+-0.0015
97.5,101.3,0.188,0.682,+-0.1,,+-0.0015,+-0.0015
95.4,101.3,0.224,0.704,+-0.1,,+-0.0015,+-0.0015
94.4,101.3,0.286,0.744,+-0.1,,+-0.0015,+-0.0015
91.7,101.3,0.34,0.778,+-0.1,,+-0.0015,+-0.0015
90.2,101.3,0.444,0.808,+-0.1,,+-0.0015,+-0.0015
88.3,101.3,0.528,0.814,+-0.1,,+-0.0015,+-0.0015
86.9,101.3,0.558,0.836,+-0.1,,+-0.0015,+-0.0015
86.6,101.3,0.636,0.85,+-0.1,,+-0.0015,+-0.0015
84.9,101.3,0.752,0.894,+-0.1,,+-0.0015,+-0.0015
84.6,101.3,0.784,0.904,+-0.1,,+-0.0015,+-0.0015
83.8,101.3,0.841,0.929,+-0.1,,+-0.0015,+-0.0015
82.7,101.3,0.938,0.965,+-0.1,,+-0.0015,+-0.0015
82.4,101.3,1.0,1.0,+-0.1,,+-0.0015,+-0.0015
