"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-150.0,364.0,0.0,0.0,0-0.1%,0-1%,0-1%,0-1%
-150.0,370.5,0.005951,0.01938,0-0.1%,0-1%,0-1%,0-1%
-150.0,390.0,0.01689,0.05251,0-0.1%,0-1%,0-1%,0-1%
-150.0,401.0,0.02446,0.07397,0-0.1%,0-1%,0-1%,0-1%
-150.0,453.0,0.05764,0.1532,0-0.1%,0-1%,0-1%,0-1%
-150.0,500.0,0.09245,0.2157,0-0.1%,0-1%,0-1%,0-1%
-150.0,550.0,0.1287,0.2646,0-0.1%,0-1%,0-1%,0-1%
-150.0,598.0,0.1657,0.3009,0-0.1%,0-1%,0-1%,0-1%
-150.0,703.0,0.2599,0.3445,0-0.1%,0-1%,0-1%,0-1%
-150.0,730.0,0.3156,0.3156,0-0.1%,0-1%,0-1%,0-1%
