"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
75.4,500,0.03,0.344,+-0.05,+-1,,
71.0,500,0.077,0.434,+-0.05,+-1,,
68.8,500,0.18,0.491,+-0.05,+-1,,
68.0,500,0.25,0.511,+-0.05,+-1,,
67.0,500,0.331,0.54,+-0.05,+-1,,
66.8,500,0.427,0.558,+-0.05,+-1,,
66.7,500,0.509,0.581,+-0.05,+-1,,
66.6,500,0.581,0.6,+-0.05,+-1,,
66.5,500,0.668,0.623,+-0.05,+-1,,
66.5,500,0.735,0.65,+-0.05,+-1,,
67.0,500,0.788,0.682,+-0.05,+-1,,
67.5,500,0.843,0.719,+-0.05,+-1,,
68.1,500,0.887,0.768,+-0.05,+-1,,
69.2,500,0.935,0.835,+-0.05,+-1,,
70.3,500,0.965,0.899,+-0.05,+-1,,
