"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
483.28,1.913,0.0,0.0,0.1,,+-0.005,+-0.005
480.83,2.035,0.0139,0.0724,0.1,,+-0.005,+-0.005
482.75,2.31,0.0205,,0.1,,+-0.005,+-0.005
480.68,2.161,0.0266,0.13,0.1,,+-0.005,+-0.005
481.25,2.342,0.0371,0.176,0.1,,+-0.005,+-0.005
483.22,2.44,0.0407,0.1855,0.1,,+-0.005,+-0.005
482.59,2.727,0.0665,0.2334,0.1,,+-0.005,+-0.005
482.98,2.909,0.0746,0.3124,0.1,,+-0.005,+-0.005
483.3,2.867,0.0785,,0.1,,+-0.005,+-0.005
482.64,3.288,0.1049,0.4103,0.1,,+-0.005,+-0.005
484.47,3.919,0.1195,,0.1,,+-0.005,+-0.005
483.65,3.95,0.1273,0.4839,0.1,,+-0.005,+-0.005
483.31,4.063,0.1315,,0.1,,+-0.005,+-0.005
482.71,4.009,0.151,0.524,0.1,,+-0.005,+-0.005
483.99,4.907,0.1818,,0.1,,+-0.005,+-0.005
484.01,5.186,0.2036,0.6504,0.1,,+-0.005,+-0.005
482.9,5.149,0.2156,0.6268,0.1,,+-0.005,+-0.005
483.74,5.586,0.2276,0.6229,0.1,,+-0.005,+-0.005
483.25,6.0,0.2471,0.6854,0.1,,+-0.005,+-0.005
482.89,6.764,0.2972,0.7046,0.1,,+-0.005,+-0.005
482.88,6.989,0.2991,0.7056,0.1,,+-0.005,+-0.005
484.24,8.075,0.3448,0.7444,0.1,,+-0.005,+-0.005
484.47,8.89,0.3622,0.7465,0.1,,+-0.005,+-0.005
483.65,9.974,0.3732,0.781,0.1,,+-0.005,+-0.005
484.31,9.555,0.4063,,0.1,,+-0.005,+-0.005
484.31,9.678,0.4073,,0.1,,+-0.005,+-0.005
483.72,9.931,0.4139,0.7891,0.1,,+-0.005,+-0.005
484.39,11.682,0.435,0.8068,0.1,,+-0.005,+-0.005
484.69,12.028,0.4724,0.7921,0.1,,+-0.005,+-0.005
483.76,12.712,0.5078,0.8052,0.1,,+-0.005,+-0.005
483.77,13.077,0.5164,0.7838,0.1,,+-0.005,+-0.005
484.23,13.527,0.5409,0.8088,0.1,,+-0.005,+-0.005
479.98,14.527,,0.8507,0.1,,+-0.005,+-0.005
483.77,14.565,0.5743,0.8325,0.1,,+-0.005,+-0.005
484.12,15.084,0.5839,0.8153,0.1,,+-0.005,+-0.005
484.16,15.294,0.5909,0.8195,0.1,,+-0.005,+-0.005
483.71,14.974,0.5952,0.819,0.1,,+-0.005,+-0.005
483.34,15.192,0.5992,0.8232,0.1,,+-0.005,+-0.005
483.72,15.62,0.6134,0.8205,0.1,,+-0.005,+-0.005
482.64,16.688,0.6317,,0.1,,+-0.005,+-0.005
482.93,17.803,0.6534,0.8012,0.1,,+-0.005,+-0.005
483.34,17.131,0.6564,0.8359,0.1,,+-0.005,+-0.005
482.99,17.974,0.672,,0.1,,+-0.005,+-0.005
483.34,18.243,0.6787,0.8153,0.1,,+-0.005,+-0.005
482.79,18.566,0.6936,0.7946,0.1,,+-0.005,+-0.005
