"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
160,492.8,0.0,0.0,0.02,0.2,,
160,500.0,0.0001,0.0103,0.02,0.2,,
160,1000.0,0.0084,0.409,0.02,0.2,,
160,1500.0,0.0162,0.5408,0.02,0.2,,
160,2000.0,0.0239,0.6055,0.02,0.2,,
160,2500.0,0.0315,0.6452,0.02,0.2,,
160,3000.0,0.0389,0.6695,0.02,0.2,,
160,3500.0,0.0463,0.682,0.02,0.2,,
160,4000.0,0.053,0.6885,0.02,0.2,,
160,4500.0,0.0595,0.692,0.02,0.2,,
160,5000.0,0.0658,0.694,0.02,0.2,,
160,5500.0,0.0718,0.695,0.02,0.2,,
160,6000.0,0.0777,0.6955,0.02,0.2,,
