"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
333.15,10.0,0.9655,0.00155,+-0.03,+-0.1%,,
333.15,20.0,0.9314,0.000776,+-0.03,+-0.1%,,
333.15,30.0,0.897,0.000471,+-0.03,+-0.1%,,
333.15,40.0,0.865,0.000481,+-0.03,+-0.1%,,
333.15,55.0,0.815,0.000663,+-0.03,+-0.1%,,
333.15,70.0,0.761,0.00161,+-0.03,+-0.1%,,
333.15,90.0,0.692,0.0037,+-0.03,+-0.1%,,
333.15,110.0,0.625,0.00841,+-0.03,+-0.1%,,
333.15,130.0,0.564,0.0174,+-0.03,+-0.1%,,
333.15,150.0,0.498,0.0306,+-0.03,+-0.1%,,
333.15,170.0,0.429,0.0468,+-0.03,+-0.1%,,
333.15,190.0,0.363,0.0651,+-0.03,+-0.1%,,
