"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
100.8,760,1.0,1.0,+-0.1,+-0.5,,
101.0,760,0.955,0.973,+-0.1,+-0.5,,
101.1,760,0.943,0.968,+-0.1,+-0.5,,
101.5,760,0.892,0.909,+-0.1,+-0.5,,
102.7,760,0.798,0.834,+-0.1,+-0.5,,
103.8,760,0.727,0.77,+-0.1,+-0.5,,
105.1,760,0.642,0.699,+-0.1,+-0.5,,
106.1,760,0.572,0.634,+-0.1,+-0.5,,
106.7,760,0.511,0.596,+-0.1,+-0.5,,
108.3,760,0.445,0.525,+-0.1,+-0.5,,
109.7,760,0.361,0.435,+-0.1,+-0.5,,
111.1,760,0.277,0.362,+-0.1,+-0.5,,
112.3,760,0.229,0.295,+-0.1,+-0.5,,
114.1,760,0.151,0.201,+-0.1,+-0.5,,
114.7,760,0.127,0.167,+-0.1,+-0.5,,
116.0,760,0.053,0.101,+-0.1,+-0.5,,
117.0,760,0.014,0.014,+-0.1,+-0.5,,
117.5,760,0.007,0.007,+-0.1,+-0.5,,
118.1,760,0.0,0.0,+-0.1,+-0.5,,
