"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
100,80,,0.99676,+-0.5,,,
100,100,,0.99776,+-0.5,,,
100,150,,0.99756,+-0.5,,,
100,200,,0.9994,+-0.5,,,
100,250,,0.99964,+-0.5,,,
100,400,0.0385,,+-0.5,,,
100,500,0.0482,0.9977,+-0.5,,,
100,680,0.0665,0.9993,+-0.5,,,
100,750,0.071,0.99976,+-0.5,,,
100,800,0.0735,,+-0.5,,,
100,800,0.0763,0.99972,+-0.5,,,
100,1000,0.093,0.9997,+-0.5,,,
100,1050,0.1,,+-0.5,,,
100,1350,0.1242,0.99971,+-0.5,,,
100,1400,0.1268,0.9994,+-0.5,,,
100,1700,0.153,0.9994,+-0.5,,,
100,1900,0.1715,0.9992,+-0.5,,,
100,2100,0.1875,0.99974,+-0.5,,,
100,2400,0.213,0.9994,+-0.5,,,
100,2400,0.211,0.99959,+-0.5,,,
100,2500,0.213,0.9992,+-0.5,,,
100,2650,0.228,0.9998,+-0.5,,,
100,3400,0.271,0.9987,+-0.5,,,
100,3400,0.269,0.9995,+-0.5,,,
100,3600,0.2822,0.9993,+-0.5,,,
100,4000,0.299,0.9985,+-0.5,,,
100,4000,0.305,0.9996,+-0.5,,,
100,4000,0.303,0.9987,+-0.5,,,
100,4250,0.318,0.9986,+-0.5,,,
100,4700,0.338,,+-0.5,,,
100,5000,0.355,0.9968,+-0.5,,,
