"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
250,134.6,0.0,0.0,+-0.1,+-0.7,+-0.001,+-0.001
250,136.2,0.049,0.058,+-0.1,+-0.7,+-0.001,+-0.001
250,137.9,0.123,0.143,+-0.1,+-0.7,+-0.001,+-0.001
250,137.8,0.145,0.174,+-0.1,+-0.7,+-0.001,+-0.001
250,150.0,0.325,0.435,+-0.1,+-0.7,+-0.001,+-0.001
250,151.6,0.339,0.459,+-0.1,+-0.7,+-0.001,+-0.001
250,161.1,0.412,0.563,+-0.1,+-0.7,+-0.001,+-0.001
250,170.7,0.471,0.639,+-0.1,+-0.7,+-0.001,+-0.001
250,171.0,0.471,0.648,+-0.1,+-0.7,+-0.001,+-0.001
250,186.1,0.56,0.762,+-0.1,+-0.7,+-0.001,+-0.001
250,195.1,0.595,0.786,+-0.1,+-0.7,+-0.001,+-0.001
250,207.0,0.643,0.831,+-0.1,+-0.7,+-0.001,+-0.001
250,216.2,0.668,0.858,+-0.1,+-0.7,+-0.001,+-0.001
250,223.3,0.703,0.88,+-0.1,+-0.7,+-0.001,+-0.001
250,248.4,0.791,0.927,+-0.1,+-0.7,+-0.001,+-0.001
250,256.1,0.811,0.943,+-0.1,+-0.7,+-0.001,+-0.001
250,293.3,0.946,0.987,+-0.1,+-0.7,+-0.001,+-0.001
250,301.0,0.969,0.995,+-0.1,+-0.7,+-0.001,+-0.001
250,308.3,1.0,1.0,+-0.1,+-0.7,+-0.001,+-0.001
