"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
220,28.4,0.0,0.0,0.02,0.15%,0.001,0.001
220,500.0,0.0189,0.935,0.02,0.15%,0.001,0.001
220,1000.0,0.0384,0.9622,0.02,0.15%,0.001,0.001
220,1500.0,0.0574,0.9716,0.02,0.15%,0.001,0.001
220,2000.0,0.076,0.9763,0.02,0.15%,0.001,0.001
220,2500.0,0.0941,0.9789,0.02,0.15%,0.001,0.001
220,3000.0,0.1119,0.9804,0.02,0.15%,0.001,0.001
220,3500.0,0.1281,0.9815,0.02,0.15%,0.001,0.001
220,4000.0,0.1446,0.9822,0.02,0.15%,0.001,0.001
220,4500.0,0.1599,0.9827,0.02,0.15%,0.001,0.001
220,5000.0,0.1758,0.983,0.02,0.15%,0.001,0.001
220,6000.0,0.2058,0.9832,0.02,0.15%,0.001,0.001
220,7000.0,0.2362,0.9834,0.02,0.15%,0.001,0.001
220,8000.0,0.2644,0.9835,0.02,0.15%,0.001,0.001
220,9000.0,,0.9832,0.02,0.15%,0.001,0.001
