"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
350,179.5,0.0,0.0,0.1,0.1%,0.01,0.01
350,200.0,0.015,0.09,0.1,0.1%,0.01,0.01
350,250.0,0.049,0.249,0.1,0.1%,0.01,0.01
350,300.0,0.079,0.351,0.1,0.1%,0.01,0.01
350,350.0,0.106,0.423,0.1,0.1%,0.01,0.01
350,400.0,0.13,0.477,0.1,0.1%,0.01,0.01
350,500.0,0.171,0.552,0.1,0.1%,0.01,0.01
350,600.0,0.204,0.597,0.1,0.1%,0.01,0.01
350,700.0,0.241,0.618,0.1,0.1%,0.01,0.01
350,800.0,0.292,0.624,0.1,0.1%,0.01,0.01
350,900.0,0.364,0.612,0.1,0.1%,0.01,0.01
350,950.0,0.423,0.587,0.1,0.1%,0.01,0.01
350,980.0,0.525,0.525,0.1,0.1%,0.01,0.01
