"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
76.0,760,0.99,0.905,+-0.1,+-0.5,+-0.7%,+-0.7%
73.2,760,0.98,0.807,+-0.1,+-0.5,+-0.7%,+-0.7%
67.4,760,0.94,0.635,+-0.1,+-0.5,+-0.7%,+-0.7%
65.9,760,0.92,0.58,+-0.1,+-0.5,+-0.7%,+-0.7%
61.8,760,0.848,0.468,+-0.1,+-0.5,+-0.7%,+-0.7%
59.4,760,0.755,0.395,+-0.1,+-0.5,+-0.7%,+-0.7%
58.7,760,0.667,0.37,+-0.1,+-0.5,+-0.7%,+-0.7%
58.35,760,0.548,0.36,+-0.1,+-0.5,+-0.7%,+-0.7%
58.1,760,0.412,0.35,+-0.1,+-0.5,+-0.7%,+-0.7%
58.0,760,0.33,0.34,+-0.1,+-0.5,+-0.7%,+-0.7%
58.25,760,0.275,0.33,+-0.1,+-0.5,+-0.7%,+-0.7%
58.45,760,0.235,0.325,+-0.1,+-0.5,+-0.7%,+-0.7%
59.15,760,0.102,0.29,+-0.1,+-0.5,+-0.7%,+-0.7%
60.2,760,0.045,0.255,+-0.1,+-0.5,+-0.7%,+-0.7%
63.5,760,0.01,0.16,+-0.1,+-0.5,+-0.7%,+-0.7%
66.7,760,0.006,0.065,+-0.1,+-0.5,+-0.7%,+-0.7%
