"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
372.01,127.99,,0.1781,,+-0.02,,
369.6,127.99,0.0633,0.2638,,+-0.02,,
366.94,127.99,0.0904,0.3523,,+-0.02,,
364.73,127.99,0.1175,0.4181,,+-0.02,,
362.82,127.99,0.1415,0.4741,,+-0.02,,
360.79,127.99,0.1698,0.526,,+-0.02,,
359.13,127.99,0.1963,0.5658,,+-0.02,,
357.81,127.99,0.2198,0.5976,,+-0.02,,
354.65,127.99,0.2788,0.6629,,+-0.02,,
353.9,127.99,0.295,0.6785,,+-0.02,,
353.36,127.99,0.3069,0.69,,+-0.02,,
351.63,127.99,0.3484,0.725,,+-0.02,,
350.64,127.99,0.3738,0.7426,,+-0.02,,
349.92,127.99,0.3888,0.7548,,+-0.02,,
348.92,127.99,0.4258,0.773,,+-0.02,,
348.09,127.99,0.4524,0.7864,,+-0.02,,
347.23,127.99,0.4818,0.801,,+-0.02,,
346.54,127.99,0.5077,0.8125,,+-0.02,,
345.93,127.99,0.5312,0.8225,,+-0.02,,
345.06,127.99,0.567,0.8368,,+-0.02,,
344.3,127.99,0.6015,0.8493,,+-0.02,,
343.59,127.99,0.6337,0.862,,+-0.02,,
342.83,127.99,0.6709,0.8754,,+-0.02,,
341.99,127.99,0.7114,0.8897,,+-0.02,,
341.46,127.99,0.7381,0.899,,+-0.02,,
340.72,127.99,0.7752,0.9119,,+-0.02,,
340.07,127.99,0.8149,0.9244,,+-0.02,,
339.44,127.99,0.8466,0.9374,,+-0.02,,
338.78,127.99,0.8846,0.9516,,+-0.02,,
338.25,127.99,0.9145,0.963,,+-0.02,,
337.81,127.99,0.9388,0.9728,,+-0.02,,
337.39,127.99,0.9619,0.9825,,+-0.02,,
337.03,127.99,0.984,0.9922,,+-0.02,,
