"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
60.3,760,0.0,0.0,+-0.1,+-0.5,,
60.3,760,0.012,0.014,+-0.1,+-0.5,,
60.3,760,0.039,0.043,+-0.1,+-0.5,,
60.1,760,0.12,0.129,+-0.1,+-0.5,,
59.7,760,0.194,0.213,+-0.1,+-0.5,,
59.2,760,0.283,0.313,+-0.1,+-0.5,,
58.8,760,0.363,0.398,+-0.1,+-0.5,,
58.6,760,0.425,0.463,+-0.1,+-0.5,,
58.2,760,0.505,0.548,+-0.1,+-0.5,,
57.7,760,0.579,0.624,+-0.1,+-0.5,,
57.1,760,0.648,0.7,+-0.1,+-0.5,,
56.7,760,0.718,0.765,+-0.1,+-0.5,,
56.4,760,0.783,0.825,+-0.1,+-0.5,,
55.8,760,0.84,0.877,+-0.1,+-0.5,,
55.3,760,0.886,0.919,+-0.1,+-0.5,,
54.4,760,0.955,0.97,+-0.1,+-0.5,,
54.0,760,0.993,0.998,+-0.1,+-0.5,,
53.9,760,1.0,1.0,+-0.1,+-0.5,,
