"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
37.7,0.175,0.0067,0.6,0.02,0.00025,0.005,0.005
37.7,0.8171,0.071,0.915,0.02,0.00025,0.005,0.005
37.7,1.2999,0.115,0.945,0.02,0.00025,0.005,0.005
37.7,2.6268,0.25,0.968,0.02,0.00025,0.005,0.005
37.7,3.0824,0.301,0.97,0.02,0.00025,0.005,0.005
37.7,3.716,0.4,0.976,0.02,0.00025,0.005,0.005
37.7,4.5768,0.515,0.976,0.02,0.00025,0.005,0.005
37.7,5.3669,0.628,0.976,0.02,0.00025,0.005,0.005
37.7,5.8338,0.729,0.978,0.02,0.00025,0.005,0.005
37.7,6.0931,0.781,0.978,0.02,0.00025,0.005,0.005
37.7,6.307,0.807,0.978,0.02,0.00025,0.005,0.005
37.7,6.549,0.857,0.977,0.02,0.00025,0.005,0.005
