"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
303.15,12.06,1.0,,+-0.01,+-0.05,,
303.15,24.47,0.8888,,+-0.01,+-0.05,,
303.15,35.93,0.7926,,+-0.01,+-0.05,,
303.15,55.3,0.6423,,+-0.01,+-0.05,,
303.15,69.98,0.533,,+-0.01,+-0.05,,
303.15,80.39,0.4562,,+-0.01,+-0.05,,
303.15,87.97,0.3988,,+-0.01,+-0.05,,
303.15,99.39,0.3178,,+-0.01,+-0.05,,
303.15,107.16,0.2616,,+-0.01,+-0.05,,
303.15,112.42,0.222,,+-0.01,+-0.05,,
303.15,118.92,0.1743,,+-0.01,+-0.05,,
303.15,125.71,0.1214,,+-0.01,+-0.05,,
303.15,141.95,0.0,,+-0.01,+-0.05,,
