"T, deg.C","P, psi",X,Y,T Err,P Err,X Err,Y Err
43.5,850,0.452,0.9915,0.1,3.5,0.005,0.005
43.6,1000,0.6038,0.9894,0.1,3.5,0.005,0.005
43.6,1150,0.844,0.9855,0.1,3.5,0.005,0.005
61.8,200,0.0785,0.9664,0.1,3.5,0.005,0.005
61.7,400,0.1529,0.9791,0.1,3.5,0.005,0.005
61.7,600,0.237,0.9818,0.1,3.5,0.005,0.005
61.8,850,0.3538,0.983,0.1,3.5,0.005,0.005
61.3,1000,0.4368,0.9813,0.1,3.5,0.005,0.005
61.7,1150,0.5297,0.9794,0.1,3.5,0.005,0.005
62.0,1250,0.595,0.9764,0.1,3.5,0.005,0.005
61.8,1350,0.6908,0.9713,0.1,3.5,0.005,0.005
81.6,850,0.2965,0.9672,0.1,3.5,0.005,0.005
81.3,1000,0.3603,0.9665,0.1,3.5,0.005,0.005
81.2,1250,0.4739,0.9629,0.1,3.5,0.005,0.005
81.3,1500,0.6114,0.9515,0.1,3.5,0.005,0.005
81.3,1650,0.7133,0.9335,0.1,3.5,0.005,0.005
121.5,1000,0.2831,0.8946,0.1,3.5,0.005,0.005
121.4,1250,0.3675,0.8959,0.1,3.5,0.005,0.005
121.4,1500,0.4583,0.8875,0.1,3.5,0.005,0.005
121.4,1750,0.5586,0.8652,0.1,3.5,0.005,0.005
121.0,1800,0.5889,0.8532,0.1,3.5,0.005,0.005
