"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
209.1,96.4,0.0,,+-0.1,+-0.13,,
209.1,96.4,0.0561,,+-0.1,+-0.13,,
208.7,96.4,0.0981,,+-0.1,+-0.13,,
208.3,96.4,0.1708,,+-0.1,+-0.13,,
208.0,96.4,0.2138,,+-0.1,+-0.13,,
207.8,96.4,0.2795,,+-0.1,+-0.13,,
206.6,96.4,0.5025,,+-0.1,+-0.13,,
206.0,96.4,0.5651,,+-0.1,+-0.13,,
205.5,96.4,0.6115,,+-0.1,+-0.13,,
204.9,96.4,0.6544,,+-0.1,+-0.13,,
204.5,96.4,0.6961,,+-0.1,+-0.13,,
204.2,96.4,0.7243,,+-0.1,+-0.13,,
204.3,96.4,0.7454,,+-0.1,+-0.13,,
203.9,96.4,0.7838,,+-0.1,+-0.13,,
203.5,96.4,0.8283,,+-0.1,+-0.13,,
203.3,96.4,0.8442,,+-0.1,+-0.13,,
200.0,96.4,1.0,,+-0.1,+-0.13,,
