"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
273.6,1.0,0.028,0.978,+-0.2,+-0.02,0.001,0.002
273.6,2.02,0.057,0.9865,+-0.2,+-0.02,0.002,0.008
273.6,4.0,0.114,0.9889,+-0.2,+-0.02,0.004,0.008
273.6,5.95,0.173,0.9882,+-0.2,+-0.02,0.005,0.009
273.6,8.04,0.225,0.987,+-0.2,+-0.02,0.006,0.008
273.6,9.87,0.274,0.986,+-0.2,+-0.02,0.007,0.002
273.6,12.71,0.352,0.972,+-0.2,+-0.02,0.009,0.002
273.6,15.08,0.411,0.958,+-0.2,+-0.02,0.01,0.004
273.6,17.53,0.471,0.948,+-0.2,+-0.02,0.009,0.003
273.6,20.15,0.547,0.925,+-0.2,+-0.02,0.009,0.003
