"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
373.15,10.893,0.0,,+-0.01,+-0.003,,
373.15,10.853,0.0,,+-0.01,+-0.003,,
373.15,10.863,0.051,,+-0.01,+-0.003,,
373.15,10.898,0.1507,,+-0.01,+-0.003,,
373.15,10.937,0.2583,,+-0.01,+-0.003,,
373.15,10.953,0.3502,,+-0.01,+-0.003,,
373.15,10.965,0.4513,,+-0.01,+-0.003,,
373.15,10.961,0.5558,,+-0.01,+-0.003,,
373.15,10.972,0.4919,,+-0.01,+-0.003,,
373.15,10.957,0.5488,,+-0.01,+-0.003,,
373.15,10.925,0.6503,,+-0.01,+-0.003,,
373.15,10.872,0.748,,+-0.01,+-0.003,,
373.15,10.784,0.8515,,+-0.01,+-0.003,,
373.15,10.685,0.9604,,+-0.01,+-0.003,,
373.15,10.644,1.0,,+-0.01,+-0.003,,
