"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
97.62,760,0.045,0.125,+-0.01,+-2,,
97.06,760,0.054,0.145,+-0.01,+-2,,
96.2,760,0.07,0.18,+-0.01,+-2,,
95.48,760,0.083,0.205,+-0.01,+-2,,
94.3,760,0.115,0.26,+-0.01,+-2,,
93.14,760,0.15,0.31,+-0.01,+-2,,
91.5,760,0.19,0.37,+-0.01,+-2,,
89.8,760,0.25,0.42,+-0.01,+-2,,
89.73,760,0.265,0.435,+-0.01,+-2,,
88.87,760,0.3,0.47,+-0.01,+-2,,
87.11,760,0.38,0.55,+-0.01,+-2,,
85.65,760,0.46,0.605,+-0.01,+-2,,
84.61,760,0.545,0.67,+-0.01,+-2,,
83.47,760,0.64,0.735,+-0.01,+-2,,
83.36,760,0.65,0.745,+-0.01,+-2,,
82.34,760,0.77,0.815,+-0.01,+-2,,
82.03,760,0.81,0.85,+-0.01,+-2,,
81.88,760,0.855,0.875,+-0.01,+-2,,
81.72,760,0.89,0.905,+-0.01,+-2,,
81.29,760,0.98,0.975,+-0.01,+-2,,
81.27,760,0.985,0.98,+-0.01,+-2,,
81.28,760,0.988,0.981,+-0.01,+-2,,
81.3,760,0.995,0.99,+-0.01,+-2,,
