"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
339.9,7.45,0.0,0.0,0.05,,0.005,0.005
340.0,13.93,0.021,0.402,0.05,,0.005,0.005
340.1,24.13,0.046,0.612,0.05,,0.005,0.005
340.05,34.47,0.076,0.703,0.05,,0.005,0.005
340.1,48.26,0.109,0.763,0.05,,0.005,0.005
340.1,68.95,0.163,0.794,0.05,,0.005,0.005
340.11,82.74,0.203,0.808,0.05,,0.005,0.005
340.1,96.53,0.238,0.813,0.05,,0.005,0.005
339.98,110.32,0.275,0.816,0.05,,0.005,0.005
339.95,124.04,0.314,0.813,0.05,,0.005,0.005
340.0,137.96,0.356,0.807,0.05,,0.005,0.005
339.99,151.55,0.401,0.795,0.05,,0.005,0.005
339.67,165.34,0.443,0.778,0.05,,0.005,0.005
340.1,178.71,0.507,0.744,0.05,,0.005,0.005
340.15,184.85,0.55,0.713,0.05,,0.005,0.005
