"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
343.15,15.942,0.0,0.0,+-0.02,0.02,+-0.005,+-0.005
343.15,24.299,,0.5169,+-0.02,0.02,+-0.005,+-0.005
343.15,26.348,0.2313,0.5794,+-0.02,0.02,+-0.005,+-0.005
343.15,27.693,0.2946,0.6088,+-0.02,0.02,+-0.005,+-0.005
343.15,28.45,0.3492,0.6184,+-0.02,0.02,+-0.005,+-0.005
343.15,28.89,0.4372,0.6463,+-0.02,0.02,+-0.005,+-0.005
343.15,29.105,0.4781,0.6599,+-0.02,0.02,+-0.005,+-0.005
343.15,29.05,0.533,0.6644,+-0.02,0.02,+-0.005,+-0.005
343.15,29.1,0.5844,0.6679,+-0.02,0.02,+-0.005,+-0.005
343.15,29.115,0.6093,0.682,+-0.02,0.02,+-0.005,+-0.005
343.15,29.123,0.6554,0.6812,+-0.02,0.02,+-0.005,+-0.005
343.15,29.15,0.6864,0.6864,+-0.02,0.02,+-0.005,+-0.005
343.15,29.05,0.7119,,+-0.02,0.02,+-0.005,+-0.005
343.15,29.09,0.7409,0.6733,+-0.02,0.02,+-0.005,+-0.005
343.15,29.08,0.8039,0.6992,+-0.02,0.02,+-0.005,+-0.005
343.15,29.032,0.8268,0.7324,+-0.02,0.02,+-0.005,+-0.005
343.15,28.922,0.8556,0.7243,+-0.02,0.02,+-0.005,+-0.005
343.15,28.793,0.8351,0.7035,+-0.02,0.02,+-0.005,+-0.005
343.15,28.598,0.8543,,+-0.02,0.02,+-0.005,+-0.005
343.15,28.165,0.9181,,+-0.02,0.02,+-0.005,+-0.005
343.15,27.6,0.9272,,+-0.02,0.02,+-0.005,+-0.005
343.15,26.847,0.9448,0.7284,+-0.02,0.02,+-0.005,+-0.005
343.15,25.797,0.9591,,+-0.02,0.02,+-0.005,+-0.005
343.15,23.93,0.9731,0.8232,+-0.02,0.02,+-0.005,+-0.005
343.15,21.22,0.9921,0.9254,+-0.02,0.02,+-0.005,+-0.005
343.15,18.722,1.0,1.0,+-0.02,0.02,+-0.005,+-0.005
