"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
66.28,50,0.0,0.0,0.02,,0.0005,0.0005
65.0,50,0.01,0.045,0.02,,0.0005,0.0005
60.0,50,0.048,0.132,0.02,,0.0005,0.0005
55.0,50,0.089,0.216,0.02,,0.0005,0.0005
50.0,50,0.135,0.295,0.02,,0.0005,0.0005
45.0,50,0.19,0.374,0.02,,0.0005,0.0005
40.0,50,0.255,0.455,0.02,,0.0005,0.0005
35.0,50,0.336,0.534,0.02,,0.0005,0.0005
30.0,50,0.438,0.614,0.02,,0.0005,0.0005
25.0,50,0.572,0.701,0.02,,0.0005,0.0005
20.0,50,0.739,0.811,0.02,,0.0005,0.0005
17.0,50,0.874,0.908,0.02,,0.0005,0.0005
16.0,50,0.932,0.95,0.02,,0.0005,0.0005
14.85,50,1.0,1.0,0.02,,0.0005,0.0005
