"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
64.2,99.7,0.972,0.975,0.1,0.5,0.001,0.001
64.3,99.7,0.939,0.949,0.1,0.5,0.001,0.001
64.8,99.8,0.858,0.884,0.1,0.5,0.001,0.001
65.2,99.9,0.784,0.824,0.1,0.5,0.001,0.001
65.6,99.9,0.717,0.772,0.1,0.5,0.001,0.001
66.1,99.9,0.654,0.725,0.1,0.5,0.001,0.001
66.4,100.0,0.618,0.694,0.1,0.5,0.001,0.001
66.7,100.0,0.574,0.665,0.1,0.5,0.001,0.001
67.1,100.2,0.541,0.642,0.1,0.5,0.001,0.001
67.6,100.2,0.486,0.602,0.1,0.5,0.001,0.001
67.8,99.9,0.452,0.578,0.1,0.5,0.001,0.001
68.5,99.9,0.394,0.535,0.1,0.5,0.001,0.001
69.0,100.2,0.358,0.508,0.1,0.5,0.001,0.001
69.6,100.1,0.311,0.471,0.1,0.5,0.001,0.001
70.5,99.9,0.254,0.422,0.1,0.5,0.001,0.001
71.5,100.0,0.209,0.378,0.1,0.5,0.001,0.001
72.9,100.0,0.153,0.317,0.1,0.5,0.001,0.001
75.1,100.1,0.09,0.225,0.1,0.5,0.001,0.001
77.0,100.1,0.048,0.14,0.1,0.5,0.001,0.001
