"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
343.15,523.32,0.0023,0.0035,,,,
343.15,523.81,0.0043,0.006,,,,
343.15,524.15,0.0072,0.0106,,,,
343.15,525.9,0.0155,0.0201,,,,
343.15,528.29,0.0282,0.036,,,,
343.15,531.43,0.0503,0.0596,,,,
343.15,533.16,0.084,0.0887,,,,
343.15,532.54,0.1347,0.1254,,,,
343.15,529.49,0.1872,0.1545,,,,
343.15,522.92,0.2576,0.1873,,,,
343.15,512.82,0.3353,0.2179,,,,
343.15,508.8,0.3641,0.2297,,,,
343.15,490.76,0.4778,0.2704,,,,
343.15,464.93,0.5849,0.3154,,,,
343.15,410.78,0.7488,0.4118,,,,
343.15,301.86,0.9314,0.6493,,,,
343.15,225.56,0.9851,0.9401,,,,
343.15,215.54,0.9919,0.9611,,,,
343.15,210.0,0.9966,0.9699,,,,
