"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
298.15,114.4,0.0,,+-0.01,+-0.1,,
298.15,117.1,0.0863,,+-0.01,+-0.1,,
298.15,119.9,0.1661,,+-0.01,+-0.1,,
298.15,120.8,0.239,,+-0.01,+-0.1,,
298.15,120.5,0.2584,,+-0.01,+-0.1,,
298.15,120.7,0.2902,,+-0.01,+-0.1,,
298.15,122.3,0.2988,,+-0.01,+-0.1,,
298.15,121.0,0.309,,+-0.01,+-0.1,,
298.15,121.0,0.3411,,+-0.01,+-0.1,,
298.15,123.0,0.348,,+-0.01,+-0.1,,
298.15,121.9,0.3797,,+-0.01,+-0.1,,
298.15,123.6,0.4065,,+-0.01,+-0.1,,
298.15,122.7,0.4297,,+-0.01,+-0.1,,
298.15,124.3,0.4663,,+-0.01,+-0.1,,
298.15,123.0,0.4904,,+-0.01,+-0.1,,
298.15,123.8,0.5059,,+-0.01,+-0.1,,
298.15,123.6,0.5566,,+-0.01,+-0.1,,
298.15,123.7,0.5645,,+-0.01,+-0.1,,
298.15,123.7,0.6093,,+-0.01,+-0.1,,
298.15,124.3,0.7149,,+-0.01,+-0.1,,
298.15,124.1,0.7788,,+-0.01,+-0.1,,
298.15,124.0,0.8999,,+-0.01,+-0.1,,
298.15,124.3,1.0,,+-0.01,+-0.1,,
