"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-25,100,0.05,0.765,,,+-0.5%,+-0.5%
-25,200,0.112,0.868,,,+-0.5%,+-0.5%
-25,300,0.175,0.902,,,+-0.5%,+-0.5%
-25,400,0.237,0.92,,,+-0.5%,+-0.5%
-25,500,0.3,0.93,,,+-0.5%,+-0.5%
-25,600,0.361,0.933,,,+-0.5%,+-0.5%
-25,700,0.422,0.936,,,+-0.5%,+-0.5%
-25,800,0.485,0.935,,,+-0.5%,+-0.5%
-25,900,0.548,0.933,,,+-0.5%,+-0.5%
-25,1000,0.609,0.93,,,+-0.5%,+-0.5%
-25,1100,0.671,0.919,,,+-0.5%,+-0.5%
-25,1200,0.734,0.901,,,+-0.5%,+-0.5%
-25,1300,0.796,0.872,,,+-0.5%,+-0.5%
-25,1370,0.835,0.835,,,+-0.5%,+-0.5%
