"T, deg.F","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
223.2,760,0.0465,0.112,0.1,,0.05%,0.05%
218.2,760,0.1155,0.251,0.1,,0.05%,0.05%
211.8,760,0.2185,0.417,0.1,,0.05%,0.05%
204.4,760,0.3455,0.5845,0.1,,0.05%,0.05%
200.7,760,0.441,0.677,0.1,,0.05%,0.05%
195.7,760,0.5455,0.758,0.1,,0.05%,0.05%
191.6,760,0.638,0.8245,0.1,,0.05%,0.05%
188.5,760,0.745,0.8875,0.1,,0.05%,0.05%
185.7,760,0.8275,0.9285,0.1,,0.05%,0.05%
182.7,760,0.9485,0.9805,0.1,,0.05%,0.05%
210.9,760,0.2305,0.441,0.1,,0.05%,0.05%
202.9,760,0.387,0.629,0.1,,0.05%,0.05%
