"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
210.0,0.334,0.0,0.0,0.1%,0.1%,,
210.0,0.966,0.11,0.6411,0.1%,0.1%,,
210.0,1.091,0.1304,0.6807,0.1%,0.1%,,
210.0,1.61,0.2263,0.7782,0.1%,0.1%,,
210.0,2.055,0.2947,0.8244,0.1%,0.1%,,
210.0,2.651,0.3938,0.8574,0.1%,0.1%,,
210.0,3.826,0.5885,0.899,0.1%,0.1%,,
210.0,4.382,0.67,0.9101,0.1%,0.1%,,
210.0,4.656,0.7137,0.9134,0.1%,0.1%,,
210.0,4.841,0.7477,0.9162,0.1%,0.1%,,
210.0,5.182,0.7944,0.917,0.1%,0.1%,,
210.0,5.33,0.8149,0.9177,0.1%,0.1%,,
210.0,5.378,0.8218,0.9179,0.1%,0.1%,,
210.0,5.582,0.8552,0.9151,0.1%,0.1%,,
