"T, K","P, psi",X,Y,T Err,P Err,X Err,Y Err
110,400,0.0107,0.3409,+-0.5,1,,
110,400,0.0103,0.3383,+-0.5,1,,
110,400,0.01,0.3409,+-0.5,1,,
110,400,0.0102,,+-0.5,1,,
110,603,0.0236,0.5063,+-0.5,1,,
110,603,0.0239,0.5073,+-0.5,1,,
110,603,0.0234,0.5078,+-0.5,1,,
110,603,0.0252,,+-0.5,1,,
110,803,0.0378,0.5957,+-0.5,1,,
110,803,0.0375,0.6168,+-0.5,1,,
110,803,0.0372,0.6014,+-0.5,1,,
110,803,,0.6068,+-0.5,1,,
110,803,,0.6212,+-0.5,1,,
110,1001,0.0501,0.6663,+-0.5,1,,
110,1001,0.0479,0.6693,+-0.5,1,,
110,1001,0.0501,0.666,+-0.5,1,,
110,1001,0.0505,,+-0.5,1,,
110,1201,0.0617,0.6962,+-0.5,1,,
110,1201,0.0606,0.697,+-0.5,1,,
110,1201,0.0633,0.696,+-0.5,1,,
110,1403,0.0731,0.7386,+-0.5,1,,
110,1403,0.0732,0.7396,+-0.5,1,,
110,1403,0.073,0.7298,+-0.5,1,,
110,1403,,0.7318,+-0.5,1,,
110,1606,0.0818,0.7749,+-0.5,1,,
110,1606,0.0824,0.7698,+-0.5,1,,
110,1606,0.0817,0.7715,+-0.5,1,,
110,1606,,0.7753,+-0.5,1,,
110,1806,0.094,0.7886,+-0.5,1,,
110,1806,0.0859,0.7876,+-0.5,1,,
110,1806,0.0895,0.7886,+-0.5,1,,
110,1806,0.0908,,+-0.5,1,,
110,1806,0.0919,,+-0.5,1,,
110,2003,0.1013,0.7925,+-0.5,1,,
110,2003,0.095,0.795,+-0.5,1,,
110,2003,0.095,0.7944,+-0.5,1,,
110,2003,0.0984,,+-0.5,1,,
110,2003,0.1018,,+-0.5,1,,
