"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-108.4,2.151,0.0,0.0,0.1%,0.5%,,
-108.4,30.5,0.0377,0.9244,0.1%,0.5%,,
-108.4,52.5,0.0667,0.9541,0.1%,0.5%,,
-108.4,75.0,0.0958,0.967,0.1%,0.5%,,
-108.4,99.0,0.1263,0.9742,0.1%,0.5%,,
-108.4,200.0,0.2545,0.9845,0.1%,0.5%,,
-108.4,300.0,0.3969,0.9882,0.1%,0.5%,,
-108.4,400.0,0.5392,0.9898,0.1%,0.5%,,
-108.4,500.0,0.6947,0.9904,0.1%,0.5%,,
-108.4,550.0,0.7734,0.9905,0.1%,0.5%,,
-108.4,600.0,0.8454,0.9905,0.1%,0.5%,,
-108.4,650.0,0.9061,0.99075,0.1%,0.5%,,
-108.4,688.0,0.9546,0.9912,0.1%,0.5%,,
-108.4,708.0,0.9719,0.9911,0.1%,0.5%,,
-108.4,724.0,0.9856,0.9856,0.1%,0.5%,,
