"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-20.0,100.0,0.9623,0.00089,,,,
-20.0,200.0,0.9263,0.00074,,,,
-20.0,400.0,0.8553,0.00068,,,,
-20.0,600.0,0.7912,0.00072,,,,
-20.0,800.0,0.7369,0.00075,,,,
-20.0,1000.0,0.6835,0.00084,,,,
-20.0,1250.0,0.6251,0.00097,,,,
-20.0,1500.0,0.5726,0.00113,,,,
-20.0,1750.0,0.5224,0.00136,,,,
-20.0,2000.0,0.4737,0.00161,,,,
-20.0,2250.0,0.4335,0.00212,,,,
-20.0,2500.0,0.4012,0.00297,,,,
-20.0,2750.0,0.3554,0.00395,,,,
-20.0,3000.0,0.3197,0.00538,,,,
-20.0,3250.0,0.275,0.00816,,,,
-20.0,3500.0,0.2477,0.01511,,,,
-20.0,3750.0,0.1671,0.04097,,,,
