"T, deg.F","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
448.7,200,0.0,0.0,,,,
419.4,200,0.097,0.413,,,,
399.2,200,0.196,0.627,,,,
381.0,200,0.335,0.772,,,,
365.2,200,0.48,0.872,,,,
350.3,200,0.666,0.943,,,,
339.2,200,0.831,0.98,,,,
329.8,200,1.0,1.0,,,,
