"T, deg.C","P, psi",X,Y,T Err,P Err,X Err,Y Err
-77.24,0.007,0.0,,0.02,1,0.005,0.005
-77.24,20.0,0.02082,,0.02,1,0.005,0.005
-77.24,50.0,0.04831,,0.02,1,0.005,0.005
-77.24,100.0,0.09528,,0.02,1,0.005,0.005
-77.24,150.0,0.1407,,0.02,1,0.005,0.005
-77.24,200.0,0.1849,,0.02,1,0.005,0.005
-77.24,300.0,0.2698,,0.02,1,0.005,0.005
-77.24,400.0,0.3555,,0.02,1,0.005,0.005
-77.24,500.0,0.4429,,0.02,1,0.005,0.005
-77.24,600.0,0.5323,,0.02,1,0.005,0.005
-77.24,700.0,0.6422,,0.02,1,0.005,0.005
-77.24,755.0,0.7177,0.99763,0.02,1,0.005,0.005
