"T, deg.C","P, Torr",X,Y,T Err,P Err,X Err,Y Err
-20,0.475,0.115,0.02,,,,
-20,0.407,0.1545,0.17,,,,
-20,1.28,0.1896,0.828,,,,
-20,7.41,0.2145,,,,,
