"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
353.15,8.488,0.0,0.0,0.02,0.02,,
353.15,10.68,0.0583,0.2542,0.02,0.02,,
353.15,12.4,0.0967,0.3807,0.02,0.02,,
353.15,13.94,0.1342,0.4641,0.02,0.02,,
353.15,17.05,0.2195,0.6197,0.02,0.02,,
353.15,22.12,0.3464,0.7352,0.02,0.02,,
353.15,26.72,0.4703,0.8168,0.02,0.02,,
353.15,30.99,0.5834,0.8716,0.02,0.02,,
353.15,34.75,0.671,0.9208,0.02,0.02,,
353.15,37.79,0.738,0.943,0.02,0.02,,
353.15,40.22,0.7994,0.9615,0.02,0.02,,
353.15,42.46,0.8574,0.9774,0.02,0.02,,
353.15,45.35,0.946,0.9876,0.02,0.02,,
353.15,47.49,1.0,1.0,0.02,0.02,,
