"T, deg.F","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
201.6,760,0.1455,0.2325,0.1,,0.05%,0.05%
199.1,760,0.2285,0.351,0.1,,0.05%,0.05%
196.6,760,0.3095,0.4435,0.1,,0.05%,0.05%
191.3,760,0.519,0.66,0.1,,0.05%,0.05%
188.6,760,0.631,0.748,0.1,,0.05%,0.05%
185.5,760,0.7675,0.8495,0.1,,0.05%,0.05%
183.4,760,0.8585,0.9175,0.1,,0.05%,0.05%
205.0,760,0.0575,0.11,0.1,,0.05%,0.05%
194.0,760,0.42,0.5545,0.1,,0.05%,0.05%
182.2,760,0.91,0.9525,0.1,,0.05%,0.05%
186.5,760,0.7305,0.8225,0.1,,0.05%,0.05%
193.4,760,0.4355,0.5725,0.1,,0.05%,0.05%
204.7,760,0.061,0.111,0.1,,0.05%,0.05%
196.6,760,0.3125,0.45,0.1,,0.05%,0.05%
