"T, K","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
80.67,760,0.04,0.046,,,,
80.6,760,0.095,0.105,,,,
80.5,760,0.157,0.168,,,,
80.38,760,0.254,0.266,,,,
80.31,760,0.331,0.34,,,,
80.25,760,0.398,0.404,,,,
80.22,760,0.43,0.435,,,,
80.2,760,0.471,0.471,,,,
80.22,760,0.581,0.577,,,,
80.27,760,0.685,0.679,,,,
80.35,760,0.797,0.791,,,,
80.42,760,0.895,0.888,,,,
80.46,760,0.95,0.945,,,,
