"T, K","P, atm",X,Y,T Err,P Err,X Err,Y Err
270.0,21.68,0.0,0.0,,,,
270.0,23.5,0.0051,0.0523,,,,
270.0,24.35,0.0077,0.077,,,,
270.0,25.13,0.0098,0.0942,,,,
270.0,27.65,0.0157,0.1489,,,,
270.0,28.63,0.0193,0.1698,,,,
270.0,30.0,0.0233,0.1889,,,,
270.0,30.4,0.0251,,,,,
270.0,32.52,0.0302,0.2378,,,,
270.0,32.62,0.0302,0.2262,,,,
270.0,34.52,0.0359,0.2636,,,,
270.0,34.7,0.0382,0.2646,,,,
270.0,35.26,0.039,0.2668,,,,
270.0,37.31,0.0435,0.2938,,,,
270.0,40.39,0.0543,0.3216,,,,
270.0,40.53,0.0563,0.3321,,,,
270.0,41.19,0.0554,0.3339,,,,
270.0,45.5,0.0696,0.3618,,,,
270.0,47.42,0.0687,0.3811,,,,
270.0,50.31,0.0848,0.3921,,,,
270.0,53.47,0.0951,0.4156,,,,
270.0,55.2,0.0989,0.4127,,,,
270.0,57.7,0.1076,0.429,,,,
270.0,60.18,0.1165,0.4291,,,,
270.0,65.62,,0.4506,,,,
270.0,70.43,0.1555,0.4545,,,,
270.0,80.5,0.203,0.4631,,,,
270.0,80.59,,0.4631,,,,
270.0,81.42,0.2079,0.4611,,,,
270.0,84.12,0.2263,,,,,
270.0,85.45,0.2306,,,,,
270.0,89.81,0.2572,0.4652,,,,
270.0,90.71,0.2636,,,,,
270.0,93.25,0.2849,,,,,
270.0,93.5,,0.4594,,,,
270.0,93.7,0.2931,,,,,
270.0,96.42,,0.4446,,,,
270.0,96.45,,0.4475,,,,
270.0,96.67,0.3361,,,,,
270.0,97.72,0.3742,,,,,
