"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
60,572.7,1.0,1.0,+-0.01,+-0.05,+-0.0005,+-0.0005
60,568.14,0.774,0.794,+-0.01,+-0.05,+-0.0005,+-0.0005
60,552.84,0.587,0.647,+-0.01,+-0.05,+-0.0005,+-0.0005
60,530.61,0.44,0.537,+-0.01,+-0.05,+-0.0005,+-0.0005
60,505.04,0.303,0.426,+-0.01,+-0.05,+-0.0005,+-0.0005
60,490.56,0.241,0.367,+-0.01,+-0.05,+-0.0005,+-0.0005
60,462.09,0.154,0.27,+-0.01,+-0.05,+-0.0005,+-0.0005
60,431.78,0.077,0.158,+-0.01,+-0.05,+-0.0005,+-0.0005
60,419.05,0.049,0.107,+-0.01,+-0.05,+-0.0005,+-0.0005
60,391.4,0.0,0.0,+-0.01,+-0.05,+-0.0005,+-0.0005
