"T, deg.C","P, psi",X,Y,T Err,P Err,X Err,Y Err
75.0,750,0.03819,0.7413,+-0.05,+-3,,
75.0,1000,0.06804,0.616,+-0.05,+-3,,
75.0,1250,0.09755,0.57,+-0.05,+-3,,
75.0,1500,0.1305,0.5108,+-0.05,+-3,,
75.0,2250,0.2365,0.4777,+-0.05,+-3,,
75.0,2700,,0.4769,+-0.05,+-3,,
75.0,3000,0.3526,,+-0.05,+-3,,
