"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
134.1,760,0.018,0.06,,+-0.2,,
129.2,760,0.065,0.215,,+-0.2,,
124.4,760,0.114,0.352,,+-0.2,,
119.9,760,0.164,0.456,,+-0.2,,
116.1,760,0.208,0.539,,+-0.2,,
112.1,760,0.258,0.616,,+-0.2,,
108.5,760,0.308,0.676,,+-0.2,,
105.3,760,0.356,0.729,,+-0.2,,
101.8,760,0.412,0.777,,+-0.2,,
101.5,760,0.417,0.782,,+-0.2,,
97.7,760,0.486,0.829,,+-0.2,,
94.1,760,0.556,0.869,,+-0.2,,
90.8,760,0.629,0.901,,+-0.2,,
87.8,760,0.701,0.928,,+-0.2,,
85.0,760,0.771,0.95,,+-0.2,,
82.4,760,0.842,0.967,,+-0.2,,
79.9,760,0.91,0.983,,+-0.2,,
77.6,760,0.977,0.996,,+-0.2,,
