"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
310.7,0.032,0.0,0.0,+- 0.1,+- 0.07,,
310.7,0.212,0.016,0.822,+- 0.1,+- 0.07,,
310.7,0.505,0.046,0.922,+- 0.1,+- 0.07,,
310.7,0.923,0.124,0.96,+- 0.1,+- 0.07,,
310.7,1.137,0.216,0.964,+- 0.1,+- 0.07,,
310.7,1.173,0.239,0.968,+- 0.1,+- 0.07,,
310.7,1.236,0.348,0.96,+- 0.1,+- 0.07,,
310.7,1.284,0.532,0.961,+- 0.1,+- 0.07,,
310.7,1.304,0.754,0.958,+- 0.1,+- 0.07,,
310.7,1.329,0.897,0.97,+- 0.1,+- 0.07,,
310.7,1.343,0.944,0.974,+- 0.1,+- 0.07,,
310.7,1.341,0.984,0.98,+- 0.1,+- 0.07,,
310.7,1.302,1.0,1.0,+- 0.1,+- 0.07,,
