"T, deg.C","P, psi",X,Y,T Err,P Err,X Err,Y Err
160,400,0.114,0.998,,,,
160,600,0.163,0.998,,,,
160,800,0.208,0.998,,,,
160,1000,0.25,0.998,,,,
160,1250,0.298,0.998,,,,
160,1500,0.343,0.997,,,,
160,1750,0.384,0.997,,,,
160,2000,0.423,0.996,,,,
160,2250,0.459,0.995,,,,
160,2500,0.494,0.994,,,,
160,2750,0.527,0.993,,,,
160,3000,0.56,0.991,,,,
160,3250,0.591,0.989,,,,
160,3500,0.621,0.986,,,,
160,3750,0.65,0.983,,,,
160,4000,0.68,0.979,,,,
160,4250,0.71,0.972,,,,
160,4500,0.743,0.965,,,,
160,4750,0.779,0.954,,,,
160,5000,0.825,0.937,,,,
