"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
424.69,1.4,0.066,,+-0.05,+-0.01,0.001,
434.94,1.77,0.066,,+-0.05,+-0.01,0.001,
445.57,2.225,0.066,,+-0.05,+-0.01,0.001,
455.35,2.725,0.066,,+-0.05,+-0.01,0.001,
464.18,3.245,0.066,,+-0.05,+-0.01,0.001,
474.9,3.975,0.066,,+-0.05,+-0.01,0.001,
484.57,4.74,0.066,,+-0.05,+-0.01,0.001,
493.73,5.558,0.066,,+-0.05,+-0.01,0.001,
503.15,6.508,0.066,,+-0.05,+-0.01,0.001,
512.67,7.505,0.066,,+-0.05,+-0.01,0.001,
517.45,8.026,0.066,,+-0.05,+-0.01,0.001,
518.0,8.05,0.066,,+-0.05,+-0.01,0.001,
