"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
350.0,10.47,0.0124,0.0897,+-0.025,+-0.03,,
350.0,11.69,0.0284,0.1729,+-0.025,+-0.03,,
350.0,13.25,0.0475,0.2525,+-0.025,+-0.03,,
350.0,16.41,0.089,0.3797,+-0.025,+-0.03,,
350.0,19.02,0.1243,0.4531,+-0.025,+-0.03,,
350.0,21.87,0.1653,0.5131,+-0.025,+-0.03,,
350.0,25.02,0.2105,0.5566,+-0.025,+-0.03,,
350.0,27.19,0.2437,0.5872,+-0.025,+-0.03,,
350.0,29.82,0.283,0.6155,+-0.025,+-0.03,,
350.0,33.03,0.3331,0.6432,+-0.025,+-0.03,,
350.0,39.46,0.4399,0.6834,+-0.025,+-0.03,,
350.0,45.77,0.5554,0.6942,+-0.025,+-0.03,,
350.0,46.81,0.5804,0.6862,+-0.025,+-0.03,,
350.0,47.52,0.6014,0.6713,+-0.025,+-0.03,,
350.0,40.15,0.4529,0.6842,+-0.025,+-0.03,,
350.0,38.74,0.4277,0.6768,+-0.025,+-0.03,,
350.0,41.83,0.4814,0.6896,+-0.025,+-0.03,,
350.0,36.24,0.3856,0.6605,+-0.025,+-0.03,,
350.0,41.93,0.4833,0.6806,+-0.025,+-0.03,,
350.0,45.13,0.5421,0.6893,+-0.025,+-0.03,,
