"T, deg.C","P, Torr",X,Y,T Err,P Err,X Err,Y Err
25.0,49.85,0.0843,0.6607,+-0.005,+-0.06,+-0.025%,+-0.025%
25.0,63.49,0.1226,0.7432,+-0.005,+-0.06,+-0.025%,+-0.025%
25.0,85.4,0.1864,0.8218,+-0.005,+-0.06,+-0.025%,+-0.025%
25.0,108.85,0.2614,0.8697,+-0.005,+-0.06,+-0.025%,+-0.025%
25.0,122.76,0.3069,0.8906,+-0.005,+-0.06,+-0.025%,+-0.025%
25.0,126.56,0.3176,0.8951,+-0.005,+-0.06,+-0.025%,+-0.025%
25.0,161.16,0.4382,0.9302,+-0.005,+-0.06,+-0.025%,+-0.025%
25.0,165.94,0.4593,0.9336,+-0.005,+-0.06,+-0.025%,+-0.025%
25.0,167.28,0.4635,0.9348,+-0.005,+-0.06,+-0.025%,+-0.025%
25.0,190.96,0.549,0.9504,+-0.005,+-0.06,+-0.025%,+-0.025%
25.0,200.43,0.5829,0.956,+-0.005,+-0.06,+-0.025%,+-0.025%
25.0,228.93,0.6872,0.97,+-0.005,+-0.06,+-0.025%,+-0.025%
25.0,260.32,0.8007,0.9826,+-0.005,+-0.06,+-0.025%,+-0.025%
25.0,267.58,0.8267,0.9854,+-0.005,+-0.06,+-0.025%,+-0.025%
25.0,298.45,0.9362,0.9947,+-0.005,+-0.06,+-0.025%,+-0.025%
