"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
128.4,760,0.04,0.136,+-0.1,+-1,+-0.0005,+-0.0005
125.1,760,0.09,0.249,+-0.1,+-1,+-0.0005,+-0.0005
123.0,760,0.148,0.337,+-0.1,+-1,+-0.0005,+-0.0005
120.6,760,0.186,0.37,+-0.1,+-1,+-0.0005,+-0.0005
119.1,760,0.232,0.425,+-0.1,+-1,+-0.0005,+-0.0005
117.9,760,0.289,0.468,+-0.1,+-1,+-0.0005,+-0.0005
117.2,760,0.337,0.498,+-0.1,+-1,+-0.0005,+-0.0005
116.9,760,0.397,0.53,+-0.1,+-1,+-0.0005,+-0.0005
116.5,760,0.42,0.552,+-0.1,+-1,+-0.0005,+-0.0005
115.5,760,0.538,0.612,+-0.1,+-1,+-0.0005,+-0.0005
115.3,760,0.612,0.644,+-0.1,+-1,+-0.0005,+-0.0005
115.1,760,0.652,0.672,+-0.1,+-1,+-0.0005,+-0.0005
115.2,760,0.76,0.744,+-0.1,+-1,+-0.0005,+-0.0005
115.3,760,0.779,0.756,+-0.1,+-1,+-0.0005,+-0.0005
115.8,760,0.855,0.821,+-0.1,+-1,+-0.0005,+-0.0005
116.0,760,0.872,0.837,+-0.1,+-1,+-0.0005,+-0.0005
116.2,760,0.902,0.868,+-0.1,+-1,+-0.0005,+-0.0005
116.2,760,0.928,0.902,+-0.1,+-1,+-0.0005,+-0.0005
116.6,760,0.962,0.944,+-0.1,+-1,+-0.0005,+-0.0005
