"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
344.3,8.35,0.0,0.0,+-0.05,,,
344.3,10.5,0.0177,0.1748,+-0.05,,,
344.3,15.65,0.0604,0.4077,+-0.05,,,
344.3,20.61,0.1032,0.5355,+-0.05,,,
344.2,27.59,0.1637,0.629,+-0.05,,,
344.3,34.49,0.225,0.6909,+-0.05,,,
344.2,41.49,0.2894,0.7266,+-0.05,,,
344.3,48.37,0.355,0.7529,+-0.05,,,
344.3,54.98,0.4154,0.7653,+-0.05,,,
344.3,62.11,0.4919,0.7816,+-0.05,,,
344.3,69.0,0.5625,0.7904,+-0.05,,,
344.2,76.03,0.6322,0.7841,+-0.05,,,
344.2,79.61,0.6615,0.7679,+-0.05,,,
344.3,80.58,0.6958,0.7556,+-0.05,,,
